"id","nombre_dataset","tipo_geom","crs","categoria","descripcion","registros_cant","estado_interno","estado_visor","visor_al_día","campos","campos_cant","fecha_crea","fecha_ult_mod","version","formatos_disponibles","vinculo"
"barr","limites_barrios","Polígonos","EPSG:5344","Geografía y territorio","Límites de barrios","77","Entregado","Publicado","❌","fid, id, nombre, zona, circ, sect","6","2026-04-01","2026-05-22","1.2",".xlsx, .kml, .gpkg","Límites de barrios"
"asve","asociaciones_vecinales","Puntos","EPSG:5344","Población y sociedad","Asociaciones vecinales","53","Entregado","Publicado","❌","id, tipo, nombre, calle, altura, interseccion, barrio, tel, responsable, correo, lat, lng","12","2026-01-01","2026-06-03","1.2",".xlsx, .kml, .gpkg","Asociaciones vecinales.xlsx"
"ceju","centros_jubilados","Puntos","EPSG:5344","Población y sociedad","Centros de jubilados","14","Entregado","Publicado","❌","id, tipo, nombre, calle, altura, intersecion, barrio, tel, correo, lat, lng","11","2025-10-01","","1",".xlsx, .kml, .shp, .gpkg","Centros de jubilados.xlsx"
"cepb","centros_promocion","Puntos","EPSG:5344","Población y sociedad","Centros de promoción barrial","11","Entregado","Publicado","❌","id, tipo, nombre, calle, altura, interseccion, barrio, tel, correo, lat, lng","11","2025-10-01","","1",".xlsx, .kml, .shp","Centros de promocion barrial.xlsx"
"come","comedores_comunitarios","Puntos","EPSG:5344","Población y sociedad","Comedores comunitarios","28","Entregado","Publicado","❌","id, tipo, nombre, calle, altura, interseccion, barrio, tel, correo, lat, lng","11","2025-12-01","","1",".xlsx, .kml, .shp","Comedores comunitarios.xlsx"
"reli","entidades_religiosas","Puntos","EPSG:5344","Población y sociedad","Entidades religiosas","132","Entregado","Publicado","❌","id, tipo, denominacion, nombre, calle, altura, barrio, tel, coordenadas, lat, lng","11","2025-10-01","2026-06-05","1.2",".xlsx, .kml, .shp","Entidades_religiosas.xlsx"
"cult","espacios_culturales","Puntos","EPSG:5344","Educación, cultura y deporte","Espacios culturales","81","Entregado","Publicado","❌","id, tipo, nombre, calle, altura, interseccion, barrio, tel, correo, coordenadas, lat, lng","12","2025-10-01","","1",".xlsx, .kml, .shp","Espacios culturales.xlsx"
"ermr","espacios_reservados","Puntos","EPSG:5344","Infraestructura y redes de transporte","Espacios reservados para personas con movilidad reducida","36","Producción","Producción","❌","id, tipo, calle, lado, interseccion, barrio, cartel, cordon_amarillo, plastico_refractario, pavimento_senializado, estado, coordenadas","12","2026-04-01","","1",".xlsx, .kml, .shp","Espacios reservados para personas con movilidad reducida.xlsx"
"educ","estab_educativos","Puntos","EPSG:5344","Educación, cultura y deporte","Establecimientos educativos","252","Entregado","Publicado","❌","id, cue, cod_jurisdiccion, nombre, nivel, gestion, modalidad, dependencia, categoria, cod_area, tel, correo, calle, altura, cod_postal, barrio, coordenadas, lat, lng","19","2025-10-01","","1",".xlsx, .kml, .shp","Establecimientos educativos.xlsx"
"estv","estaciones_servicio","Puntos","EPSG:5344","Infraestructura y redes de transporte","Estaciones de servicio","18","Entregado","Publicado","❌","id, nombre, empresa, direccion, barrio, zona, tel, coordenadas, lat, lng","10","2025-10-01","","1",".xlsx, .kml, .shp","Estaciones de servicio.xlsx"
"salv","salud_privada","Puntos","EPSG:5344","Salud y bienestar","Infraestructura de salud privada","158","Producción","Publicado","❌","id, tipo, nombre, calle, altura, interseccion, barrios, tel, correo, coordenadas, lat, lng","12","2025-10-01","","1",".xlsx, .kml, .shp, .gpkg","Infraestructura de salud privada.xlsx"
