"id","nombre","zona","circunscripcion","sector","zona_geo","ordenanza","resolucion"
"1","13 de Diciembre","8","1","8","Sur","",""
"2","25 de Mayo","11","5","5 - 9","Norte","5.568/95","1.164/95"
"3","30 de Octubre","21","1","21","Sur","","96/84"
"4","9 de Julio","7","1","7","Sur","",""
"5","Acceso Noroeste","32","5","1","Norte","",""
"6","Acceso Sur","33","1","25 - 27","Sur","",""
"7","Acceso Sur Fracción 14 y 15","19","1","27","Sur","",""
"8","ARA San Juan","32","5","1","Norte","17.137/23","37/24"
"9","Astra","27","3","3","Norte","",""
"10","Balcón del Paraíso","2","1","2","Sur","9.339/09","771/09"
"11","Bella Vista Norte","19","5","10","Norte","",""
"12","Bella Vista Oeste","19","2","2","Sur","17.200/24","1.793/24"
"13","Bella Vista Sur","19","2","2","Sur","11.413/13","4.384/13"
"14","Caleta Córdova","28","4","2","Norte","",""
"15","Ceferino Namuncurá","10","1","10","Sur","2.210/83",""
"16","Centenario","32","5","1","Norte","7.600-3/15","3.978/15"
"17","Centro","1","1","1","Sur","222/70",""
"18","Centro Cívico General Solari","16","1","16","Sur","664/75","5.210/75"
"19","Chacras Cañadones La Francesa y Las Leñas","19","2","1","Sur","",""
"20","Chacras El Faro","19","4","2 - 3 - 4","Norte","",""
"21","Chacras Km 17","19","4","1","Norte","",""
"22","Chacras Km 18","19","4","1","Norte","",""
"23","Chacras La Herradura","19","2","3 - 4","Sur","",""
"24","Chacras Loteo Feijoo, Vento, Colla y otros","19","2","2","Sur","",""
"25","Chacras Loteo Quistani y otros","19","2","2","Sur","",""
"26","Ciudadela","14","5","2","Norte","14.239/19","1.612/19"
"27","Cordón Forestal Juan Manuel Feeney","35","1","26","Sur","100/02","7.572/01"
"28","Cuarteles Chacabuco","32","4","1","Norte","3.173/88","14/89"
"29","Diadema Argentina","25","3","1","Norte","1.569/82",""
"30","Don Bosco","24","4","5 - 7 - 9","Norte","",""
"31","Dr. Quirno Costa","29","1","14","Sur","2.210/83",""
"32","Dr. René Gerónimo Favaloro","32","4","1","Norte","12.053/15","3.973/15"
"33","El Atardecer","19","2","2","Sur","12.373/16","2.925/16"
"34","Ex Radio Estación","19","5","8","Norte","",""
"35","Franja Forestal Cerro de la Cruz","19","5","1","Norte","17.432/25",""
"36","Gasoducto","14","5","1","Norte","14.243/19","1.610/19"
"37","General Enrique Mosconi","11","5","4 - 5 - 6","Norte","8.979/07","2.645/07"
"38","Gesta de Malvinas","32","5","1","Norte","7.600-2/08",""
"39","Gobernador Fontana","24","4","6","Norte","3.005/87","2.909/87"
"40","Gobernador Roque González","19","2","1","Sur","12.028-1/15","3.840/15"
"41","Güemes","38","5","3","Norte","",""
"42","Humberto Beghin","20","1","20 - 23","Sur","",""
"43","Jorge Newbery","3","1","3","Sur","",""
"44","José Fuchs","9","1","9","Sur","",""
"45","Juan José Castelli","38","5","3 - 9","Norte","",""
"46","Juan XXIII","30","1","19","Sur","2.210/83",""
"47","La Floresta","5","1","8","Norte","",""
"48","Laprida","15","5","4","Sur","",""
"49","Las Flores","4","1","9 - 8","Norte","17.408/25","2.368/25"
"50","Las Orquídeas","12","4","2","Sur","11.908/15","2.174/15"
"51","Los Arenales","19","2","27","Sur","12.860/17","2.348/17"
"52","Los Bretes","19","1","24","Sur","6.688/98","1.725/98"
"53","Maestro Isidro Quiroga","37","1","1","Sur","11.935/15","2.807/15"
"54","Malvinas Argentinas","19","2","10","Norte","",""
"55","Manantial Rosales","26","5","22","Sur","4.865/93","249/94"
"56","Mario Abel Amaya","40","1","11","Sur","6.688/98","1.725/98"
"57","Máximo Abásolo","31","1","13","Sur","6.688/98","1.725/98"
"58","Monseñor Argimiro Daniel Moure","41","1","3 - 9","Norte","17.407/25","2.693/25 y 2.371/25"
"59","Nicolás Rodríguez Peña","38","5","7","Norte","5.811/95","9.257/95"
"60","Nuestra Señora de la Divina Providencia","11","5","2","Norte","14.242/19","1.611/19"
"61","Padre Juan Corti","14","5","28","Sur","10.215/11","3.591/11"
"62","Parque Industrial","33","1","2","Sur","222/70",""
"63","Pietrobelli","2","1","9 - 10","Norte","17.408/25","2.366/25"
"64","Presidente Roberto M. Ortiz","12","4","8","Norte","",""
"65","Próspero Palazzo","13","4","17","Sur","",""
"66","Pueyrredón","17","1","7","Norte","",""
"67","Restinga Alí","34","4","7","Norte","",""
"68","Saavedra","22","5","12","Sur","6.688/98","1.725/98"
"69","San Cayetano","39","1","15","Sur","2.885/87","1.351/87"
"70","San Isidro Labrador","36","1","6","Sur","2.210/83",""
"71","San Martín","6","1","3","Norte","",""
"72","Sarmiento","38","5","6 - 4","Norte","",""
"73","Standard Norte","24","4","6","Norte","",""
"74","Standard Sur","24","4","20","Sur","11.003/13","1.652/13"
"75","Stella Maris","23","1","18","Sur","314/64","68/64"
"76","Teniente General Julio Argentino Roca","18","1","5","Sur","5.402/94","3.054/94"
"77","Zona de Aeropuerto","32","4","1","Norte","",""
"","","","","","","",""
"","","","","","","",""
