"nombre","barrio","orden_carga"
"Calle 1268","""Infiernillo"" - Oeste Frac. C1","1268"
"Camino del Centenario","""Infiernillo"" - Pietrobelli","1270"
"Bernardo O'Higgins","13 de Diciembre","133"
"La Rioja","13 de Diciembre","128"
"Neuquén","13 de Diciembre","131"
"San Juan","13 de Diciembre","130"
"San Luis","13 de Diciembre","129"
"Tierra del Fuego","13 de Diciembre - José Fuchs","132"
"Alberto de Agostini","25 de Mayo","1129"
"Alberto Dip. Nac. Rodríguez Gallardo","25 de Mayo","1254"
"Alejandro Korn","25 de Mayo","1130"
"Ángel Gallardo","25 de Mayo","1126"
"Aníbal Espejon","25 de Mayo","1253"
"Ara San Juan","25 de Mayo","1305"
"Atanas Iovanovitch","25 de Mayo","1252"
"Calle Peatonal Mario Aníbal Gaston","25 de Mayo","1283"
"César Stafforini","25 de Mayo","1053"
"Doctor Antonio Sabastian Pocoví","25 de Mayo","1306"
"Enrique Mosconi","25 de Mayo","1127"
"Estanislao Zeballos","25 de Mayo","1124"
"Guillermo Enrique Hudson","25 de Mayo","1157"
"Ingeniero Guarnieri","25 de Mayo","1055"
"Ingeniero Lafont","25 de Mayo","1049"
"Ingeniero Paters","25 de Mayo","1046"
"Ingeniero Raventós","25 de Mayo","1048"
"Julio César Quiroga","25 de Mayo","1255"
"Kurt Otto Münnemann","25 de Mayo","1246"
"Lago Puelo","25 de Mayo","1045"
"Las Jarillas","25 de Mayo","1219"
"Las Mutisias","25 de Mayo","1214"
"Los Coirones","25 de Mayo","1213"
"Los Notros","25 de Mayo","1212"
"Malaspina","25 de Mayo","1217"
"Manuel J. Molina","25 de Mayo","1125"
"Miguel Lillo","25 de Mayo","1128"
"Pasaje Peatonal Grindelia","25 de Mayo","1222"
"Pasaje Peatonal Michay","25 de Mayo","1221"
"Quilimbay","25 de Mayo","1220"
"Retama","25 de Mayo","1210"
"Ricardo Levene","25 de Mayo","1131"
"Tomillo","25 de Mayo","1218"
"Calle 1211","25 de Mayo - "" Covicup "" - Entre Mzas. 55 y 59","1211"
"Calle 1216","25 de Mayo - "" Covicup "" - Este Mzas. 55 a 63","1216"
"Calle 1320","25 de Mayo - Este Mza. 1 (4 Mcr)","1320"
"Calle 1285","25 de Mayo - Este Mza. 192","1285"
"Calle 1276","25 de Mayo - Norte Fracción 10","1276"
