ramp_id,calle,interseccion,barrio,zona,posee_rampa,estado_rampa,obs,lat,lng,,
388,Carlos M. de Alvear,12 de Octubre,Pietrobelli,2,Si,Óptimo,,-45.8579212,-67.4971519,,
389,Carlos M. de Alvear,12 de Octubre,Pietrobelli,2,Si,Óptimo,Pintado,-45.8579137,-67.4974362,,
390,Leandro N. Alem,12 de Octubre,Pietrobelli,2,Si,Óptimo,Pintado,-45.8579082,-67.4986664,,
391,Leandro N. Alem,12 de Octubre,Pietrobelli,2,Si,Óptimo,Pintado,-45.8579673,-67.4987255,,
392,Leandro N. Alem,12 de Octubre,Pietrobelli,2,Si,Óptimo,,-45.8579747,-67.4989321,,
393,Formosa,Carlos M. de Alvear,Pietrobelli,2,Si,Mejorar,,-45.8545808,-67.4989984,,
394,12 de Octubre,Leandro N. Alem,Pietrobelli,2,Si,Óptimo,Pintado,-45.8579192,-67.4990108,,
395,Misiones,Leandro N. Alem,Pietrobelli,2,Si,Óptimo,,-45.8556055,-67.4990142,,
396,Misiones,Leandro N. Alem,Pietrobelli,2,Si,Mejorar,,-45.8556919,-67.4990078,,
397,Carlos M. de Alvear,Luis Argentino Huergo,Pietrobelli,2,Si,Óptimo,Pintado,-45.8587857,-67.4973846,,
398,Leandro N. Alem,Luis Argentino Huergo,Pietrobelli,2,Si,Óptimo,Pintado,-45.8586706,-67.4987581,,
399,Virgen del Carmen,Saavedra,Pietrobelli,2,Si,Óptimo,,-45.8583339,-67.4959477,,
400,Virgen del carmen,Saavedra,Pietrobelli,2,Si,Óptimo,Pintado,-45.8584157,-67.4959421,,
401,Chaco,13 de Diciembre,Jorge Newbery,3,Si,Mejorar,,-45.8567211,-67.5020648,,
402,Misiones,13 de Diciembre,Jorge Newbery,3,Si,Mejorar,,-45.8557374,-67.5020482,,
403,Chaco,13 de Diciembre,Jorge Newbery,3,Si,Mejorar,,-45.8567994,-67.5021285,,
404,Luis Argentino Huergo,13 de Diciembre,Jorge Newbery,3,Si,Mejorar,,-45.8589871,-67.5020899,,
405,Galicia,Entre Ríos,Jorge Newbery,3,Si,Mejorar,,-45.8652832,-67.5064683,,
406,Avenida Bernardino Rivadavia,Islas Malvinas,Jorge Newbery,3,Si,Mejorar,Boulevard,-45.862193,-67.509514,,
407,Asturias,Jorge Newbery,Jorge Newbery,3,Si,Óptimo,,-45.8641079,-67.5057605,,
408,Asturias,Jorge Newbery,Jorge Newbery,3,Si,Óptimo,Pintado,-45.8641789,-67.5058034,,
409,Galicia,Jorge Newbery,Jorge Newbery,3,Si,Óptimo,,-45.8644471,-67.5068315,,
410,Pastor E. Schneider,Jorge Newbery,Jorge Newbery,3,Si,Óptimo,,-45.8636838,-67.5033312,,
411,Asturias,Jorge Newbery,Jorge Newbery,3,Si,Óptimo,,-45.8642298,-67.5059743,,
412,Asturias,Jorge Newbery,Jorge Newbery,3,Si,Mejorar,,-45.863983,-67.5057759,,
413,Pastor E. Schneider,Mendoza,Jorge Newbery,3,Si,Óptimo,,-45.8641137,-67.5033195,,
414,Entre Ríos,Mendoza,Jorge Newbery,3,Si,Óptimo,,-45.8648199,-67.5038708,,
415,Avenida Bernardino Rivadavia,Pasaje San Antonio,Jorge Newbery,3,Si,Mejorar,,-45.862103,-67.508536,,
416,Avenida Bernardino Rivadavia,Pastor Schneider,Jorge Newbery,3,Si,Mejorar,,-45.862093,-67.503302,,
417,Avenida Bernardino Rivadavia,Pastor Schneider,Jorge Newbery,3,Si,Mejorar,,-45.862198,-67.503285,,
418,Avenida Bernardino Rivadavia,Pastor Schneider,Jorge Newbery,3,Si,Mejorar,,-45.862375,-67.50326,,
419,Jorge Newbery,Pastor Schneider,Jorge Newbery,3,Si,Óptimo,,-45.863568,-67.5036407,,
420,Jorge Newbery,Pastor Schneider,Jorge Newbery,3,Si,Óptimo,,-45.8636346,-67.5034367,,
421,12 de Octubre,,Jorge Newbery,3,Si,Óptimo,,-45.8578819,-67.5021278,,
422,Avenida Bernardino Rivadavia,,Jorge Newbery,3,Si,Óptimo,,-45.8623903,-67.5048312,,
423,Avenida Bernardino Rivadavia,Asturias,Jorge Newbery,3,Si,Mejorar,,-45.862379,-67.506022,,
424,Avenida Bernardino Rivadavia,Asturias,Jorge Newbery,3,Si,Mejorar,,-45.862201,-67.506036,,
425,Islas Malvinas Norte,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862034,-67.50961,,
426,Islas Malvinas Norte,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862306,-67.509596,,
427,Ituizango,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Óptimo,,-45.862566,-67.507607,,
428,Pasaje San Antonio,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.86203,-67.508781,,
429,Pasaje San Antonio,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862031,-67.508674,,
430,Pastor E. Schneider,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862038,-67.503365,,
431,Pastor E. Schneider,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862543,-67.503373,,
432,Asturias,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862557,-67.506282,,
433,Asturias,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Óptimo,Boulevard,-45.862307,-67.506305,,
434,Florida,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862019,-67.507733,,
435,Florida,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862028,-67.507562,,
436,Florida,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Óptimo,Boulevard Oscar Smith,-45.862307,-67.507607,,
437,Florida,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Óptimo,,-45.862306,-67.507752,,
438,Fragata Sarmiento,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862035,-67.506455,,
439,Fragata Sarmiento,Avenida Bernardino Rivadavia,Jorge Newbery,3,Si,Mejorar,,-45.862083,-67.506662,,
440,Avenida Bernardino Rivadavia,Araucarias,Las Flores,4,Si,Mejorar,,-45.862175,-67.513962,,
441,Islas Malvinas Norte,Avenida Bernardino Rivadavia,Las Flores,4,Si,Óptimo,,-45.862307,-67.509752,,
442,Los Ajenjos,Avenida Bernardino Rivadavia,Las Flores,4,Si,Mejorar,,-45.861981,-67.512968,,
443,Los Ajenjos,Avenida Bernardino Rivadavia,Las Flores,4,Si,Mejorar,,-45.861984,-67.512804,,
444,Los Pinos,Avenida Bernardino Rivadavia,Las Flores,4,Si,Mejorar,,-45.862026,-67.511697,,
445,Araucarias Norte,Avenida Bernardino Rivadavia,Las Flores,4,Si,Mejorar,,-45.862289,-67.514283,,
446,Araucarias Norte,Avenida Bernardino Rivadavia,Las Flores,4,Si,Óptimo,,-45.862292,-67.514123,,
447,Benito Lynch,Avenida Bernardino Rivadavia,Las Flores,4,Si,Óptimo,,-45.862293,-67.512298,,
448,Benito Lynch,Avenida Bernardino Rivadavia,Las Flores,4,Si,Mejorar,,-45.862304,-67.512167,,
449,Avenida Bernardino Rivadavia,Avenida John Fitzgerald Kennedy,Las Flores,4,Si,Óptimo,Boulevard,-45.862262,-67.515363,,
450,Avenida Bernardino Rivadavia,,Las Flores,4,Si,Mejorar,Boulevard Segundo E. Villagran,-45.862251,-67.515552,,
451,Boulevard Córdoba,13 de Diciembre,9 de Julio,7,Si,Óptimo,Pintado,-45.867726,-67.5020787,,
452,Chubut,13 de Diciembre,9 de Julio,7,Si,Mejorar,,-45.8657724,-67.50265,,
453,Córdoba,13 de Diciembre,9 de Julio,7,Si,Óptimo,Pintado,-45.8677821,-67.5020869,,
454,Entre Ríos,13 de Diciembre,9 de Julio,7,Si,Mejorar,,-45.8654222,-67.5024932,,
455,Entre Ríos,13 de Diciembre,9 de Julio,7,Si,Mejorar,,-45.8655166,-67.5025768,,
456,Boulevard Córdoba,13 de Diciembre,9 de Julio,7,Si,Óptimo,Pintado,-45.8678745,-67.5021365,,
457,Boulevard Córdoba,13 de Diciembre,9 de Julio,7,Si,Óptimo,Pintado,-45.867624,-67.5021298,,
458,Jorge Newbery,13 de Diciembre,9 de Julio,7,Si,Mejorar,,-45.8635621,-67.5021184,,
459,Tucumán,13 de Diciembre,9 de Julio,7,Si,Óptimo,,-45.8662378,-67.5022066,,
460,Uruguay,13 de Diciembre,9 de Julio,7,Si,Mejorar,,-45.868668,-67.502102,,
461,Catamarca,13 de Diciembre,9 de Julio,7,Si,Mejorar,,-45.864655,-67.5021529,,
462,Avenida Sargento Cabral,Aristóbulo del Valle,9 de Julio,7,Si,Óptimo,,-45.8699207,-67.5037964,,
463,Avenida Sargento Cabral,Aristóbulo del Valle,9 de Julio,7,Si,Óptimo,,-45.8699051,-67.5038304,,
464,Santiago del Estero,Aristóbulo del Valle,9 de Julio,7,Si,Mejorar,,-45.8698763,-67.5029061,,
465,Salta,Avenida Sargento Cabral,9 de Julio,7,Si,Óptimo,,-45.8697009,-67.5040517,,
466,Santa Cruz,Avenida Sargento Cabral,9 de Julio,7,Si,Mejorar,,-45.8692465,-67.5049556,,
467,Santa Cruz,Avenida Sargento Cabral,9 de Julio,7,Si,Mejorar,,-45.8693187,-67.5048581,,
468,Chubut,Boulevard Córdoba,9 de Julio,7,Si,Óptimo,,-45.8666864,-67.5043263,,
469,Mendoza,Boulevard Córdoba,9 de Julio,7,Si,Mejorar,,-45.8659495,-67.5054954,,
470,Mendoza,Boulevard Córdoba,9 de Julio,7,Si,Óptimo,,-45.8658635,-67.5056501,,
471,Eleuterio Mujica,Catamarca,9 de Julio,7,Si,Óptimo,,-45.8657703,-67.5039292,,
472,Entre Ríos,Catamarca,9 de Julio,7,Si,Óptimo,,-45.8649293,-67.5032355,,
473,Uruguay,Catamarca,9 de Julio,7,Si,Óptimo,,-45.86702,-67.5056087,,
474,Eleuterio Mujica,Catamarca,9 de Julio,7,Si,Óptimo,,-45.8658284,-67.5040423,,
475,Eleuterio Mujica,Chubut,9 de Julio,7,Si,Mejorar,,-45.8660753,-67.5036376,,
476,Eleuterio Mujica,Chubut,9 de Julio,7,Si,Mejorar,,-45.8660166,-67.5035398,,
477,Mendoza,Córdoba,9 de Julio,7,Si,Mejorar,,-45.8659383,-67.5055034,,
478,Mendoza,Córdoba,9 de Julio,7,Si,Mejorar,,-45.8658815,-67.5056257,,
479,Santiago del Estero,Córdoba,9 de Julio,7,Si,Óptimo,,-45.8679219,-67.5029331,,
480,Tucumán,Córdoba,9 de Julio,7,Si,Óptimo,,-45.8672048,-67.5034842,,
481,Tucumán,Córdoba,9 de Julio,7,Si,Óptimo,,-45.8673203,-67.5039797,,
482,Catamarca,Córdoba,9 de Julio,7,Si,Mejorar,,-45.8664141,-67.5048106,,
483,Catamarca,Córdoba,9 de Julio,7,Si,Mejorar,,-45.8667398,-67.5049318,,
484,Catamarca,Córdoba,9 de Julio,7,Si,Óptimo,,-45.8663558,-67.5049244,,
485,Chubur,Córdoba,9 de Julio,7,Si,Óptimo,,-45.8666905,-67.5043201,,
486,Chubut,Córdoba,9 de Julio,7,Si,Mejorar,,-45.8667598,-67.504216,,
487,Catamarca,Entre Ríos,9 de Julio,7,Si,Óptimo,,-45.8650544,-67.5029619,,
488,Catamarca,Entre Ríos,9 de Julio,7,Si,Óptimo,,-45.8649758,-67.5029005,,
489,Catamarca,Entre Ríos,9 de Julio,7,Si,Óptimo,,-45.8651689,-67.5032238,,
490,Mendoza,Entre Ríos,9 de Julio,7,Si,Óptimo,,-45.8651494,-67.5046905,,
491,Catamarca,Entre Ríos,9 de Julio,7,Si,Óptimo,,-45.8651413,-67.5033631,,
492,Salta,Hipólito Bouchard,9 de Julio,7,Si,Mejorar,,-45.8687687,-67.5031151,,
493,Santiago del Estero,Hipólito Bouchard,9 de Julio,7,Si,Óptimo,,-45.8688447,-67.5029272,,
494,Santiago del Estero,Hipólito Bouchard,9 de Julio,7,Si,Mejorar,,-45.868629,-67.5029365,,
495,Uruguay,La Pampa,9 de Julio,7,Si,Mejorar,,-45.867464,-67.5051185,,
496,Uruguay,La Pampa,9 de Julio,7,Si,Óptimo,,-45.8673521,-67.5053208,,
497,Pastor E. Schneider,Mendoza,9 de Julio,7,Si,Óptimo,,-45.8640963,-67.5031404,,
498,Córdoba,Mendoza,9 de Julio,7,Si,Óptimo,,-45.8660762,-67.5059012,,
499,Entre Ríos,Mendoza,9 de Julio,7,Si,Óptimo,,-45.8649248,-67.5038401,,
500,Chubut,Mujica Eleuterio,9 de Julio,7,Si,Mejorar,,-45.8660464,-67.5034344,,
501,Chubut,Mujica Eleuterio,9 de Julio,7,Si,Mejorar,,-45.8661549,-67.5036053,,
502,Catamarca,Mujica Eleuterio,9 de Julio,7,Si,Óptimo,,-45.8658438,-67.5041162,,
503,Jorge Newbery,Pastor Schneider,9 de Julio,7,Si,Óptimo,,-45.8635599,-67.5030734,,
504,Avenida Sargento Cabral,Río Negro,9 de Julio,7,Si,Óptimo,,-45.8679534,-67.507328,,
505,Uruguay,Río Negro,9 de Julio,7,Si,Mejorar,,-45.8670366,-67.5058319,,
506,Santiago del Estero,Salta,9 de Julio,7,Si,Óptimo,,-45.8687047,-67.5030712,,
507,Santiago del Estero,Santa Cruz,9 de Julio,7,Si,Óptimo,Pintado,-45.8679465,-67.5030829,,
508,Uruguay,Santa Cruz,9 de Julio,7,Si,Óptimo,,-45.8681588,-67.5037474,,
509,Uruguay,Santa Cruz,9 de Julio,7,Si,Óptimo,Pintado,-45.868223,-67.5038625,,
510,Santa Cruz,Santiago del Esteo,9 de Julio,7,Si,Óptimo,Pintado,-45.8679285,-67.5031934,,
511,Uruguay,Tucumán,9 de Julio,7,Si,Óptimo,,-45.8679294,-67.5043824,,
512,Uruguay,Tucumán,9 de Julio,7,Si,Óptimo,,-45.867836,-67.5043072,,
513,Uruguay,Tucumán,9 de Julio,7,Si,Óptimo,,-45.8677674,-67.5046245,,
514,Catamarca,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8670175,-67.5054766,,
515,La Pampa,Uruguay,9 de Julio,7,Si,Óptimo,,-45.867492,-67.5052204,,
516,La Pampa,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8674248,-67.5053039,,
517,Mendoza,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8666123,-67.5066828,,
518,Mendoza,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8665436,-67.5067903,,
519,Santa Cruz,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8682972,-67.5038367,,
520,Tucumán,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8678496,-67.5046111,,
521,Tucumán,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8679397,-67.5044983,,
522,Tucumán,Uruguay,9 de Julio,7,Si,Óptimo,,-45.8677501,-67.5043312,,
523,Hipólito Bouchard,,9 de Julio,7,Si,Óptimo,,-45.868792,-67.5028333,,
524,Pastor E. Schneider,,9 de Julio,7,Si,Óptimo,,-45.8636043,-67.5031742,,
525,Río Negro,,9 de Julio,7,Si,Mejorar,,-45.8670478,-67.505966,,
526,Río Negro,,9 de Julio,7,Si,Óptimo,,-45.8679499,-67.507198,,
527,Salta,,9 de Julio,7,Si,Mejorar,,-45.8696468,-67.5041885,,
528,Salta,Avenida Sargento Cabral,13 de Diciembre,8,Si,Mejorar,,-45.8699161,-67.5045103,,
529,Salta,Avenida Sargento Cabral,13 de Diciembre,8,Si,Óptimo,,-45.8699387,-67.5044101,,
530,Tucumán,Avenida Sargento Cabral,13 de Diciembre,8,Si,Mejorar,,-45.8690993,-67.5058994,,
531,Tucumán,Avenida Sargento Cabral,13 de Diciembre,8,Si,Mejorar,,-45.8690355,-67.5060896,,
532,La Pampa,Avenida Sargento Cabral,13 de Diciembre,8,Si,Óptimo,,-45.8686899,-67.5066785,,
533,Neuquén,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8716862,-67.5040379,,
534,Neuquén,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8712657,-67.5047892,,
535,Neuquén,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8714681,-67.5049697,,
536,Neuquén,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.87134,-67.5045912,,
537,Neuquén,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8715376,-67.5047744,,
538,Salta,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8709129,-67.5056627,,
539,Salta,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8709646,-67.5055171,,
540,Salta,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8711456,-67.5056987,,
541,San Juan,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8717566,-67.5039892,,
542,San Juan,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8717921,-67.5038256,,
543,San Juan,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8715862,-67.5037753,,
544,San Juan,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8715567,-67.5038923,,
545,Santa Cruz,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8707107,-67.5066345,,
546,Santa Cruz,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8705363,-67.5064569,,
547,Santa Cruz,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8707861,-67.5065334,,
548,Tucumán,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8701618,-67.5070836,,
549,Tucumán,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8700927,-67.507215,,
550,Tucumán,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8703828,-67.5073045,,
551,Santa Cruz,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8706001,-67.506345,,
552,Isidro Quiroga,Bernardo O'Higgins,13 de Diciembre,8,Si,Mejorar,,-45.8700146,-67.5080117,,
553,La Pampa,Bernardo O'Higgins,13 de Diciembre,8,Si,Óptimo,,-45.8697853,-67.5078897,,
554,Juan de Garay,Jose Figueroa Alcorta,13 de Diciembre,8,Si,Óptimo,,-45.873101,-67.5048687,,
555,José Figueroa Alcorta,Juan de Garay,13 de Diciembre,8,Si,Óptimo,,-45.8731301,-67.5048341,,
556,Tierra del Fuego,Juan de Garay,13 de Diciembre,8,Si,Óptimo,,-45.8727463,-67.5048111,,
557,Bernardo O'Higgins,Mendoza,13 de Diciembre,8,Si,Óptimo,,-45.8686702,-67.5089717,,
558,Bernardo O'Higgins,Neuquén,13 de Diciembre,8,Si,Óptimo,,-45.8715118,-67.5046649,,
559,Bernardo O'Higgins,Neuquén,13 de Diciembre,8,Si,Óptimo,,-45.871408,-67.5045683,,
560,Bernardo O'Higgins,Neuquén,13 de Diciembre,8,Si,Óptimo,,-45.8713494,-67.5050549,,
561,Bernardo O'Higgins,Neuquén,13 de Diciembre,8,Si,Óptimo,,-45.8712668,-67.5049649,,
562,Bernardo O'Higgins,Río Negro,13 de Diciembre,8,Si,Mejorar,,-45.8691374,-67.5086869,,
563,Bernardo O'Higgins,Salta,13 de Diciembre,8,Si,Óptimo,,-45.8709338,-67.5057499,,
564,Bernardo O'Higgins,Salta,13 de Diciembre,8,Si,Mejorar,,-45.87101,-67.5058442,,
565,Tierra del Fuego,Salta,13 de Diciembre,8,Si,Óptimo,,-45.8720906,-67.5066131,,
566,Bernardo O'Higgins,San Juan,13 de Diciembre,8,Si,Óptimo,,-45.87158,-67.5040347,,
567,Tierra del Fuego,San Luis,13 de Diciembre,8,Si,Óptimo,,-45.8730101,-67.5034883,,
568,Tierra del Fuego,San Luis,13 de Diciembre,8,Si,Óptimo,,-45.8730196,-67.5038021,,
569,Bernardo O'Higgins,Santa Cruz,13 de Diciembre,8,Si,Mejorar,,-45.8706453,-67.5066694,,
570,Tierra del Fuego,Santa Cruz,13 de Diciembre,8,Si,Mejorar,,-45.8717553,-67.5074581,,
571,Bernardo O'Higgins,Santa Cruz,13 de Diciembre,8,Si,Mejorar,,-45.8705579,-67.506609,,
572,José Figueroa Alcorta,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8731688,-67.5035781,,
573,Juan de Garay,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8727891,-67.5049221,,
574,Salta,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8720686,-67.5064881,,
575,San Juan,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8726573,-67.5044763,,
576,San Luis,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8729223,-67.5035634,,
577,San Luis,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8728697,-67.5036519,,
578,San Luis,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8729164,-67.5037726,,
579,Santa Cruz,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8718456,-67.5071935,,
580,Santa Cruz,Tierra del Fuego,13 de Diciembre,8,Si,Mejorar,,-45.8717249,-67.5073016,,
581,Santa Cruz,Tierra del Fuego,13 de Diciembre,8,Si,Óptimo,,-45.8717949,-67.5071905,,
582,Bernardo O'Higgins,Tucumán,13 de Diciembre,8,Si,Óptimo,,-45.8702778,-67.5070996,,
583,Río Negro,,13 de Diciembre,8,Si,Mejorar,,-45.8681702,-67.5075271,,
